peak_load_pu,study_period_pu
1.0,0.0
0.9933,0.0002
0.9866,0.0003
0.98,0.0004
0.9733,0.0006
0.9666,0.0008
0.9599,0.001
0.9532,0.0015
0.9466,0.0024
0.9399,0.0034
0.9332,0.004
0.9265,0.0058
0.9199,0.0076
0.9132,0.0081
0.9065,0.01
0.8998,0.0137
0.8931,0.016
0.8865,0.0189
0.8798,0.0239
0.8731,0.029
0.8664,0.0333
0.8597,0.0401
0.8531,0.0464
0.8464,0.0517
0.8397,0.0614
0.833,0.0718
0.8264,0.0823
0.8197,0.0906
0.813,0.1004
0.8063,0.1122
0.7996,0.1254
0.796,0.1353
0.7863,0.1452
0.7796,0.1574
0.7729,0.1704
0.7662,0.1823
0.7596,0.1918
0.7529,0.2005
0.7462,0.2114
0.7395,0.2232
0.7329,0.2339
0.7262,0.2436
0.7195,0.2561
0.7128,0.267
0.7061,0.2773
0.6995,0.2909
0.6928,0.303
0.6861,0.3163
0.6794,0.33
0.6727,0.3448
0.6661,0.3616
0.6594,0.3769
0.6527,0.3934
0.646,0.4094
0.6394,0.426
0.6327,0.442
0.626,0.4591
0.6193,0.4771
0.6126,0.4932
0.606,0.5089
0.5993,0.5242
0.5926,0.539
0.5859,0.5501
0.5792,0.5625
0.5726,0.5742
0.5659,0.5869
0.5592,0.5992
0.5525,0.6134
0.5459,0.6265
0.5392,0.6415
0.5325,0.6544
0.5259,0.6706
0.5191,0.6881
0.5125,0.7043
0.5058,0.7218
0.4991,0.741
0.4924,0.7603
0.4857,0.781
0.4791,0.7992
0.4724,0.8158
0.4657,0.8302
0.459,0.8473
0.4523,0.8599
0.4457,0.8758
0.439,0.888
0.4323,0.9029
0.4256,0.9159
0.419,0.9293
0.4123,0.942
0.4056,0.9549
0.3989,0.9347
0.3922,0.9721
0.3856,0.9783
0.3789,0.9827
0.3722,0.9867
0.3655,0.9905
0.3588,0.9949
0.3522,0.9977
0.3455,0.9991
0.3388,1.0
