wind_farm_power_MW,probability,wind_state_count,z_min,z_max,wind_speed_min_kmh,wind_speed_max_kmh
0.0,0.29082185817777384,44,-4.9,-0.6000000000000001,0.0,13.489872974730563
0.0073,0.03915665298351005,1,-0.5,-0.5,14.4547101918775,14.4547101918775
0.1604,0.04098987708219871,1,-0.4,-0.4,15.419547409024432,15.419547409024432
0.3591,0.04229315808298521,1,-0.3,-0.3,16.384384626171368,16.384384626171368
0.6035,0.04277115716762887,1,-0.2,-0.2,17.3492218433183,17.3492218433183
0.8935,0.042690786650411545,1,-0.1,-0.1,18.314059060465237,18.314059060465237
1.2291,0.0421181467152377,1,0.0,0.0,19.27889627761217,19.27889627761217
1.6104,0.04106259870076049,1,0.1,0.1,20.243733494759102,20.243733494759102
2.0373,0.03957471666824029,1,0.2,0.2,21.208570711906038,21.208570711906038
2.5098,0.03780074299346619,1,0.3,0.3,22.17340792905297,22.17340792905297
3.0279,0.035699579116497536,1,0.4,0.4,23.138245146199907,23.138245146199907
3.5917,0.03335867363987461,1,0.5,0.5,24.10308236334684,24.10308236334684
4.2012,0.030949841376683128,1,0.6000000000000001,0.6000000000000001,25.067919580493776,25.067919580493776
4.8562,0.028669784601305804,1,0.7000000000000001,0.7000000000000001,26.032756797640708,26.032756797640708
5.5569,0.02602794633578372,1,0.8,0.8,26.997594014787644,26.997594014787644
6.3032,0.023743893867078876,1,0.9,0.9,27.962431231934577,27.962431231934577
7.0952,0.02133962811054742,1,1.0,1.0,28.92726844908151,28.92726844908151
7.9328,0.01909884329244678,1,1.1,1.1,29.892105666228446,29.892105666228446
8.816,0.016924272820917276,1,1.2000000000000002,1.2000000000000002,30.856942883375382,30.856942883375382
9.7449,0.015033396575645206,1,1.3,1.3,31.821780100522314,31.821780100522314
10.7194,0.013121057749070679,1,1.4,1.4,32.78661731766925,32.78661731766925
11.7395,0.011497550468746206,1,1.5,1.5,33.75145453481618,33.75145453481618
12.8053,0.00994790643364852,1,1.6,1.6,34.71629175196312,34.71629175196312
13.9167,0.008659694904840289,1,1.7000000000000002,1.7000000000000002,35.68112896911005,35.68112896911005
15.0737,0.007357213042719302,1,1.8,1.8,36.645966186256985,36.645966186256985
16.2764,0.00640121487343178,1,1.9,1.9,37.61080340340392,37.61080340340392
17.5247,0.005397154221547022,1,2.0,2.0,38.57564062055086,38.57564062055086
18.8186,0.0045888825427130775,1,2.1,2.1,39.54047783769779,39.54047783769779
20.1582,0.0038687444424186737,1,2.2,2.2,40.50531505484472,40.50531505484472
21.5434,0.003265508912622236,1,2.3000000000000003,2.3000000000000003,41.47015227199166,41.47015227199166
22.9742,0.0027421872493771896,1,2.4000000000000004,2.4000000000000004,42.434989489138594,42.434989489138594
24.4507,0.0022781160100466993,1,2.5,2.5,43.39982670628552,43.39982670628552
25.9728,0.0019209010265620577,1,2.6,2.6,44.36466392343246,44.36466392343246
27.0,0.0088283131632632,24,2.7,5.0,45.329501140579396,67.52075713495887
