step_index,z_midpoint,wind_speed_raw_kmh,wind_speed_kmh,probability
1,-4.9,-34.95396325246315,0.0,2.245184070654961e-06
2,-4.800000000000001,-33.897831913988654,0.0,3.5390189588290067e-06
3,-4.7,-32.84170057551416,0.0,4.376206239412212e-06
4,-4.6000000000000005,-31.785569237039667,0.0,4.908961781601526e-06
5,-4.5,-30.729437898565173,0.0,7.57273949254809e-06
6,-4.4,-29.67330656009068,0.0,9.323221988312972e-06
7,-4.3,-28.617175221616186,0.0,1.0845380680282438e-05
8,-4.2,-27.561043883141693,0.0,1.7618986859546558e-05
9,-4.1000000000000005,-26.504912544667206,0.0,2.1500491524068694e-05
10,-4.0,-25.448781206192706,0.0,2.9644040526105332e-05
11,-3.9,-24.392649867718212,0.0,3.58468371958809e-05
12,-3.8,-23.33651852924372,0.0,5.0535668573386245e-05
13,-3.7,-22.280387190769225,0.0,6.0429700071187775e-05
14,-3.6,-21.224255852294732,0.0,7.903809008051447e-05
15,-3.5,-20.16812451382024,0.0,0.00010381122279226578
16,-3.4000000000000004,-19.111993175345752,0.0,0.00013417828869710362
17,-3.3000000000000003,-18.05586183687126,0.0,0.00017055788143509912
18,-3.2,-16.999730498396765,0.0,0.0002279813180896463
19,-3.1,-15.943599159922272,0.0,0.0002954129481439166
20,-3.0,-14.887467821447778,0.0,0.0003733855271400721
21,-2.9000000000000004,-13.831336482973288,0.0,0.000490591746421727
22,-2.8000000000000003,-12.775205144498795,0.0,0.0006230576065903883
23,-2.7,-11.719073806024298,0.0,0.0007877932310287235
24,-2.6,-10.662942467549804,0.0,0.0010105231016311863
25,-2.5,-9.60681112907531,0.0,0.0013047944307561414
26,-2.4000000000000004,-8.550679790600821,0.0,0.001664823015374243
27,-2.3000000000000003,-7.4945484521263275,0.0,0.002099741807637184
28,-2.2,-6.438417113651834,0.0,0.0026676972695783667
29,-2.1,-5.3822857751773405,0.0,0.0033564360237272645
30,-2.0,-4.326154436702847,0.0,0.004224941719397691
31,-1.9,-3.2700230982283536,0.0,0.005248935925452903
32,-1.8,-2.21389175975386,0.0,0.006504031874916299
33,-1.7000000000000002,-1.1577604212793702,0.0,0.00801408940528461
34,-1.6,-0.1016290828048767,0.0,0.009797146097057613
35,-1.5,0.9545022556696168,0.9545022556696168,0.011849967363014918
36,-1.4,2.010633594144112,2.010633594144112,0.014200789246892609
37,-1.3,3.0667649326186037,3.0667649326186037,0.016751166135287467
38,-1.2000000000000002,4.122896271093095,4.122896271093095,0.01957610239774628
39,-1.1,5.179027609567589,5.179027609567589,0.02265904455849391
40,-1.0,6.235158948042082,6.235158948042082,0.025730532475084507
41,-0.9,7.291290286516576,7.291290286516576,0.028966223260571276
42,-0.8,8.347421624991068,8.347421624991068,0.0319464958175456
43,-0.7000000000000001,9.403552963465561,9.403552963465561,0.03472888774456388
44,-0.6000000000000001,10.459684301940054,10.459684301940054,0.03728912061048919
45,-0.5,11.515815640414548,11.515815640414548,0.03927329251943872
46,-0.4,12.57194697888904,12.57194697888904,0.04097917576552886
47,-0.3,13.628078317363533,13.628078317363533,0.04208905777577843
48,-0.2,14.684209655838025,14.684209655838025,0.04255499055139032
49,-0.1,15.740340994312518,15.740340994312518,0.042519295930063566
50,0.0,16.796472332787012,16.796472332787012,0.0418836805142645
51,0.1,17.852603671261505,17.852603671261505,0.0408170278108668
52,0.2,18.908735009736,18.908735009736,0.039376418770819654
53,0.3,19.964866348210492,19.964866348210492,0.03752615877279619
54,0.4,21.020997686684986,21.020997686684986,0.03551945891520548
55,0.5,22.077129025159476,22.077129025159476,0.033168751193229734
56,0.6000000000000001,23.13326036363397,23.13326036363397,0.030752095945924464
57,0.7000000000000001,24.189391702108463,24.189391702108463,0.02832912374004748
58,0.8,25.245523040582956,25.245523040582956,0.02589774160739736
59,0.9,26.301654379057446,26.301654379057446,0.023533258349259244
60,1.0,27.35778571753194,27.35778571753194,0.02118723126526131
61,1.1,28.413917056006433,28.413917056006433,0.01898158526663023
62,1.2000000000000002,29.470048394480926,29.470048394480926,0.016855243735850862
63,1.3,30.52617973295542,30.52617973295542,0.014959166761199063
64,1.4,31.582311071429913,31.582311071429913,0.013121807058090048
65,1.5,32.63844240990441,32.63844240990441,0.011444730665245376
66,1.6,33.6945737483789,33.6945737483789,0.00995054163924087
67,1.7000000000000002,34.750705086853394,34.750705086853394,0.008669302614242817
68,1.8,35.80683642532789,35.80683642532789,0.00743357613413475
69,1.9,36.862967763802374,36.862967763802374,0.006411484626444574
70,2.0,37.919099102276874,37.919099102276874,0.005460782361407714
71,2.1,38.97523044075136,38.97523044075136,0.004673445777986515
72,2.2,40.03136177922586,40.03136177922586,0.0039312792537495355
73,2.3000000000000003,41.08749311770035,41.08749311770035,0.003346009236687236
74,2.4000000000000004,42.14362445617485,42.14362445617485,0.002802446367784951
75,2.5,43.199755794649334,43.199755794649334,0.0023459890300306153
76,2.6,44.25588713312383,44.25588713312383,0.0019613395285699026
77,2.7,45.31201847159832,45.31201847159832,0.001643855279392329
78,2.8000000000000003,46.36814981007282,46.36814981007282,0.0013653002387620048
79,2.9000000000000004,47.42428114854731,47.42428114854731,0.00112597883841708
80,3.0,48.4804124870218,48.4804124870218,0.0009223901133661329
81,3.1,49.536543825496295,49.536543825496295,0.0007705167298749249
82,3.2,50.59267516397079,50.59267516397079,0.0006257213843012986
83,3.3000000000000003,51.64880650244528,51.64880650244528,0.0005206924345554339
84,3.4000000000000004,52.704937840919776,52.704937840919776,0.0004204202307219089
85,3.5,53.76106917939426,53.76106917939426,0.0003351032360370406
86,3.6,54.817200517868756,54.817200517868756,0.00028266486909864566
87,3.7,55.87333185634325,55.87333185634325,0.00022265376266782563
88,3.8,56.92946319481774,56.92946319481774,0.00017752175745092472
89,3.9,57.985594533292236,57.985594533292236,0.00014833436453236715
90,4.0,59.04172587176673,59.04172587176673,0.00011625487009908693
91,4.1000000000000005,60.09785721024123,60.09785721024123,9.665707694006103e-05
92,4.2,61.153988548715716,61.153988548715716,7.671679807526104e-05
93,4.3,62.21011988719021,62.21011988719021,6.278904604374045e-05
94,4.4,63.2662512256647,63.2662512256647,5.0421506671488535e-05
95,4.5,64.32238256413919,64.32238256413919,3.988055772959999e-05
96,4.6000000000000005,65.37851390261369,65.37851390261369,3.1204253185374035e-05
97,4.7,66.43464524108819,66.43464524108819,2.637139933837098e-05
98,4.800000000000001,67.49077657956268,67.49077657956268,1.982611696290228e-05
99,4.9,68.54690791803716,68.54690791803716,1.4917155181300757e-05
100,5.0,69.60303925651166,69.60303925651166,1.2633917143346558e-05
