wind_speed_midpoint_kmh,probability
-19.5,0.00011449771689497716
-18.5,0.00013687214611872147
-17.5,0.00017636986301369862
-16.5,0.0002321917808219178
-15.5,0.00028573059360730593
-14.5,0.000366324200913242
-13.5,0.00046358447488584474
-12.5,0.000591324200913242
-11.5,0.0007356164383561644
-10.5,0.000931392694063927
-9.5,0.0012004566210045663
-8.5,0.0015003424657534248
-7.5,0.0019049086757990867
-6.5,0.002407191780821918
-5.5,0.0029866438356164382
-4.5,0.0038363013698630138
-3.5,0.004680251141552512
-2.5,0.005824200913242009
-1.5,0.007162214611872146
-0.5,0.008758675799086757
0.5,0.010660730593607306
1.5,0.012780022831050229
2.5,0.015219977168949772
3.5,0.01777648401826484
4.5,0.02054554794520548
5.5,0.023425342465753424
6.5,0.02628139269406393
7.5,0.02914931506849315
8.5,0.031771575342465753
9.5,0.03405045662100457
10.5,0.03616495433789954
11.5,0.037827397260273975
12.5,0.03881335616438356
13.5,0.03959954337899543
14.5,0.03983835616438356
15.5,0.039751141552511415
16.5,0.0390810502283105
17.5,0.03804223744292237
18.5,0.036715296803652965
19.5,0.03512842465753425
20.5,0.03331735159817351
21.5,0.03126255707762557
22.5,0.02934269406392694
23.5,0.027076141552511417
24.5,0.02510730593607306
25.5,0.022940182648401825
26.5,0.02103584474885845
27.5,0.018964954337899544
28.5,0.01723082191780822
29.5,0.01557431506849315
30.5,0.013913127853881279
31.5,0.012377511415525113
32.5,0.011084931506849315
33.5,0.009765296803652969
34.5,0.008566324200913243
35.5,0.0076159817351598175
36.5,0.006667579908675799
37.5,0.005822945205479452
38.5,0.0050912100456621005
39.5,0.004392808219178083
40.5,0.0038113013698630135
41.5,0.00327865296803653
42.5,0.0028299086757990867
43.5,0.002421917808219178
44.5,0.002097716894977169
45.5,0.0017662100456621004
46.5,0.0014896118721461186
47.5,0.0012861872146118722
48.5,0.0010715753424657534
49.5,0.0008984018264840182
50.5,0.0007837899543378995
51.5,0.0006426940639269406
52.5,0.0005496575342465753
53.5,0.00045205479452054795
54.5,0.0003698630136986301
55.5,0.0003199771689497717
56.5,0.00025662100456621005
57.5,0.0002089041095890411
58.5,0.00017796803652968038
59.5,0.00015148401826484018
60.5,0.00011883561643835617
61.5,9.78310502283105e-05
62.5,8.41324200913242e-05
63.5,6.974885844748859e-05
64.5,5.194063926940639e-05
65.5,4.5662100456621006e-05
66.5,3.344748858447489e-05
67.5,2.9337899543378994e-05
68.5,2.728310502283105e-05
69.5,2.0662100456621005e-05
