wind_speed_kmh,probability,power_output_MW_raw,power_output_MW,region
0.0,0.0198719939117191,0.0,0.0,zero_below_cut_in
0.4160000000000003,0.0052486301369863,0.0,0.0,zero_below_cut_in
1.4220000000000006,0.0065036529680365,0.0,0.0,zero_below_cut_in
2.4279999999999973,0.0080136225266362,0.0,0.0,zero_below_cut_in
3.434000000000001,0.0097965753424657,0.0,0.0,zero_below_cut_in
4.440000000000001,0.0118492770167427,0.0,0.0,zero_below_cut_in
5.4460000000000015,0.0141999619482496,0.0,0.0,zero_below_cut_in
6.452,0.0167501902587519,0.0,0.0,zero_below_cut_in
7.457999999999998,0.0195749619482496,0.0,0.0,zero_below_cut_in
8.464,0.0226577245053272,0.0,0.0,zero_below_cut_in
9.47,0.0257290334855403,0.0,0.0,zero_below_cut_in
10.476,0.0289645357686453,0.0,0.0,zero_below_cut_in
11.482,0.0319446347031963,0.0,0.0,zero_below_cut_in
12.488,0.0347268645357686,0.0,0.0,zero_below_cut_in
13.494,0.0372869482496194,0.0,0.0,zero_below_cut_in
14.5,0.03927100456621,0.000748832500320401,0.0007,partial_power
15.506,0.0409767884322678,0.009797143204818587,0.0098,partial_power
16.512,0.042086605783866,0.021601595113264094,0.0216,partial_power
17.518,0.0425525114155251,0.03616218822565684,0.0362,partial_power
18.524,0.0425168188736681,0.05347892254199674,0.0535,partial_power
19.53,0.0418812404870624,0.07355179806228371,0.0736,partial_power
20.536,0.0408146499238964,0.09638081478651808,0.0964,partial_power
21.542,0.0393741248097412,0.12196597271469953,0.122,partial_power
22.548,0.0375239726027397,0.15030727184682813,0.1503,partial_power
23.554,0.0355173896499238,0.18140471218290388,0.1814,partial_power
24.56,0.0331668188736681,0.21525829372292704,0.2153,partial_power
25.566000000000003,0.030750304414003,0.25186801646689744,0.2519,partial_power
26.572000000000003,0.0283274733637747,0.29123388041481474,0.2912,partial_power
27.578000000000003,0.0258962328767123,0.3333558855666796,0.3334,partial_power
28.584000000000003,0.0235318873668188,0.3782340319224914,0.3782,partial_power
29.590000000000003,0.0211859969558599,0.42586831948225057,0.4259,partial_power
30.596000000000004,0.0189804794520547,0.4762587482459568,0.4763,partial_power
31.602000000000004,0.0168542617960426,0.5294053182136103,0.5294,partial_power
32.608000000000004,0.0149582952815829,0.5853080293852111,0.5853,partial_power
33.614000000000004,0.0131210426179604,0.6439668817607589,0.644,partial_power
34.620000000000005,0.0114440639269406,0.7053818753402539,0.7054,partial_power
35.626000000000005,0.0099499619482496,0.7695530101236961,0.7696,partial_power
36.632000000000005,0.0086687975646879,0.8364802861110855,0.8365,partial_power
37.638000000000005,0.0074331430745814,0.9061637033024228,0.9062,partial_power
38.644000000000005,0.0064111111111111,0.9786032616977063,0.9786,partial_power
39.650000000000006,0.0054604642313546,1.0537989612969372,1.0538,partial_power
40.656000000000006,0.0046731735159817,1.1317508021001155,1.1318,partial_power
41.662000000000006,0.0039310502283105,1.212458784107241,1.2125,partial_power
42.668000000000006,0.0033458143074581,1.2959229073183138,1.2959,partial_power
43.67400000000001,0.0028022831050228,1.3821431717333337,1.3821,partial_power
44.68000000000001,0.0023458523592085,1.471119577352301,1.4711,partial_power
45.68600000000001,0.0019612252663622,1.5,1.5,rated_power
46.69200000000001,0.0016437595129375,1.5,1.5,rated_power
47.69800000000001,0.0013652207001522,1.5,1.5,rated_power
48.70400000000001,0.0011259132420091,1.5,1.5,rated_power
49.71,0.0009223363774733,1.5,1.5,rated_power
50.71600000000001,0.0007704718417047,1.5,1.5,rated_power
51.722,0.0006256849315068,1.5,1.5,rated_power
52.72800000000001,0.0005206621004566,1.5,1.5,rated_power
53.73400000000001,0.0004203957382039,1.5,1.5,rated_power
54.74,0.0003350837138508,1.5,1.5,rated_power
55.746,0.0002826484018264,1.5,1.5,rated_power
56.752,0.0002226407914764,1.5,1.5,rated_power
57.758,0.0001775114155251,1.5,1.5,rated_power
58.764,0.0001483257229832,1.5,1.5,rated_power
59.77,0.0001162480974124,1.5,1.5,rated_power
60.77600000000001,9.665144596651444e-05,1.5,1.5,rated_power
61.782,7.671232876712329e-05,1.5,1.5,rated_power
62.788,6.278538812785389e-05,1.5,1.5,rated_power
63.794,5.041856925418569e-05,1.5,1.5,rated_power
64.80000000000001,3.9878234398782346e-05,1.5,1.5,rated_power
65.80600000000001,3.120243531202435e-05,1.5,1.5,rated_power
66.81200000000001,2.6369863013698625e-05,1.5,1.5,rated_power
67.81800000000001,1.9824961948249618e-05,1.5,1.5,rated_power
68.82400000000001,1.491628614916286e-05,1.5,1.5,rated_power
69.83000000000001,1.2633181126331807e-05,1.5,1.5,rated_power
