power_output_MW,probability,wind_speed_min_kmh,wind_speed_max_kmh,wind_speed_step_count,regions
0.0,0.2931186073059347,0.0,13.494,15,zero_below_cut_in
0.0007,0.03927100456621,14.5,14.5,1,partial_power
0.0098,0.0409767884322678,15.506,15.506,1,partial_power
0.0216,0.042086605783866,16.512,16.512,1,partial_power
0.0362,0.0425525114155251,17.518,17.518,1,partial_power
0.0535,0.0425168188736681,18.524,18.524,1,partial_power
0.0736,0.0418812404870624,19.53,19.53,1,partial_power
0.0964,0.0408146499238964,20.536,20.536,1,partial_power
0.122,0.0393741248097412,21.542,21.542,1,partial_power
0.1503,0.0375239726027397,22.548,22.548,1,partial_power
0.1814,0.0355173896499238,23.554,23.554,1,partial_power
0.2153,0.0331668188736681,24.56,24.56,1,partial_power
0.2519,0.030750304414003,25.566000000000003,25.566000000000003,1,partial_power
0.2912,0.0283274733637747,26.572000000000003,26.572000000000003,1,partial_power
0.3334,0.0258962328767123,27.578000000000003,27.578000000000003,1,partial_power
0.3782,0.0235318873668188,28.584000000000003,28.584000000000003,1,partial_power
0.4259,0.0211859969558599,29.590000000000003,29.590000000000003,1,partial_power
0.4763,0.0189804794520547,30.596000000000004,30.596000000000004,1,partial_power
0.5294,0.0168542617960426,31.602000000000004,31.602000000000004,1,partial_power
0.5853,0.0149582952815829,32.608000000000004,32.608000000000004,1,partial_power
0.644,0.0131210426179604,33.614000000000004,33.614000000000004,1,partial_power
0.7054,0.0114440639269406,34.620000000000005,34.620000000000005,1,partial_power
0.7696,0.0099499619482496,35.626000000000005,35.626000000000005,1,partial_power
0.8365,0.0086687975646879,36.632000000000005,36.632000000000005,1,partial_power
0.9062,0.0074331430745814,37.638000000000005,37.638000000000005,1,partial_power
0.9786,0.0064111111111111,38.644000000000005,38.644000000000005,1,partial_power
1.0538,0.0054604642313546,39.650000000000006,39.650000000000006,1,partial_power
1.1318,0.0046731735159817,40.656000000000006,40.656000000000006,1,partial_power
1.2125,0.0039310502283105,41.662000000000006,41.662000000000006,1,partial_power
1.2959,0.0033458143074581,42.668000000000006,42.668000000000006,1,partial_power
1.3821,0.0028022831050228,43.67400000000001,43.67400000000001,1,partial_power
1.4711,0.0023458523592085,44.68000000000001,44.68000000000001,1,partial_power
1.5,0.011069520547944528,45.68600000000001,69.83000000000001,25,rated_power
